		
'4748440109'	'755860839605809152'	'Our President, a model of leadership, love of family and faith.\r\n'
'582163242'	'761213432007892992'	'#WheelsUp has @CaroWozniacki smiling! #UpTheWayYouFly\r\n'
'19070315'	'763633191387357185'	'Zambian voters brave the cold to cast ballots amid unrest fears,via @chandagift via @WSJ\r\n'
'96758815'	'761207710251618305'	'10 Ways To Sleep Better (Starting Tonight) #UnumUK\r\n'
'46917651'	'760858109699055617'	'Sick farmers market!\r\n'
'199551313'	'758745906527113216'	'The @Kia Sedona is pretty sick for a minivan. What do you think? #TheNewKia\r\n'
'1284369666'	'721374623221301249'	'We made it to the finals with @PRHSRobotics and @FRCwiredcats ! #omgrobots\r\n'
'79656941'	'763397023630553096'	'Good stuff from Trent this morning. #RaceHub 5p ET @FS1 @NASCARONFOX\r\n'
'13323862'	'759735499841908740'	'As candidates pivot to November election, they face a polarized electorate\r\n'
'267348157'	'761291299932766208'	Hope you get to some of the 'gee-gees'! @BritShowjumping @britishdressage @BEventing\r\n
'58113644'	'761673345410543617'	'OMG HILARIOUS ! Everywhere I look I see a workshop peep LOL CONGRATS @phillipagarcia ON THE BOOKING !  #bookedit\r\n'
'582163242'	'758377716504784897'	'Lovin that #WheelsUp lifestyle! #UpTheWayYouFly\r\n'
'1327553150'	'733782639488946176'	'Congrats to Deputy Cambrice who recently completed training to become a bomb technician!\r\n'
'2351994878'	'571053915526942720'	'Great Team Photo at #Gasparilla5k! #idealimage #5k\r\n'
'361312721'	'762590415686172672'	'RT @ndh37087: Special service from Hastings and runs through Kent for a great cause?\r\n'
'1437479665'	'518542678162935809'	'@Holdzkom hidden camera\r\n'
'16299275'	'764605153395617793'	'One night with paramedics in Canada former murder capital:\r\n'
'225094789'	'760118102570831873'	Honored w/@PFFNH's support+grateful for their commitment to protect NH families on the frontlines #nhpolitics #nhgov\r\n
'270949258'	'765507770233810944'	'Joining the great @TODAYshow team to talk last night and preview today @NBCOlympics\r\n'
'59985005'	'717597250231279616'	'Story of tonight @CharlesTrippy @WeTheKings\r\n'
'1215851832'	'673699811049144324'	'healthy morning with them \r\n'
'2387334972'	'758692304924401665'	'#tbt #USCongress trip with great friend @RepRichHudson, vanguard for #veterans. #thelastpunisher #memoir #vetsrising\r\n'
'8161232'	'758995601996472320'	'Five key areas to rebuild momentum in the economy:\r\n'
'120165462'	'748505226768957440'	'Thx to those who completed the @TriRockSeries Philadelphia Triathlon, helping raise nearly $475K for @PedCancerCare!\r\n'
'23233038'	'758729665855033344'	'.@TrishIntel @EWErickson + I will be talking about @TimKaine @realDonaldTrump  2:30 PM @FoxBusiness\r\n'
'2998384152'	'744483795320115200'	'Single vehicle accident I-75 SB past Forest Pkwy- relocated to the right shoulder. #ATLtraffic\r\n'
'113409945'	'588267167776448512'	'Vanmorgen getraind tussen concurrentie vanuit alle continenten. #Motiverend Vanmiddag sluit de rest van #TeamNL aan!??\r\n'
'15021469'	'763467474155278336'	'Ending practice week w/ proof @guymartinracing confident & committed to breaking world record #triumphlandspeed\r\n'
'27688827'	'753639848842498048'	"'""Pidgey Can Wait. Don\'t Pok and Drive,"" warns this sign along #I4 near the Fairbanks curve. #PokmonGo #Pokmon\r\n'"
'144391708'	'518578239170965505'	Walking into Dodger Stadium Feelin' you!!\r\n
'68837783'	'730816249060413442'	But wait, there's more... We have NINE signed @AJDinger hats! After 100 retweets we'll choose winners! #gladtogive\r\n
'7828692'	'759917300652703745'	'Hey @gainer09 , does this look familiar?\r\n'
'1864506078'	'758764788751237120'	Chicago's Backyard: 16-year-old dies of asthma attack after witnessing block party shooting.\r\n
'726635229226524672'	'764716239591731200'	#Heartwarming @RamsNFL story of a #fan from the 90's who never gave up on their return\r\n
'214068577'	'718464119540686849'	Who's going to be at Moto GP in Austin, TX? I'll see y'all there ????\r\n
'1586892079'	'762628403564519424'	'New Fifth Hammer brewery and taproom opening in LIC, owner says:.\r\n'
'23792669'	'762285287284150272'	The sun's shinning beautifully today in #Tallinn ?? we've been waiting for the weather like this for a week #travel\r\n
'14085040'	'762258654175244289'	'Missed the opening ceremonies of #Olympics2016? Dave Barry has you covered. @MiamiHerald\r\n'
'249090055'	'761239988331773952'	'A grand unveiling. A world of luxury awaits at the Rolls-Royce Summer Studio, Porto Cervo:\r\n'
'728276198476943364'	'756204919967756293'	'Research.\r\n'
'1525500385'	'637428222896967680'	'I died. @Cluelus @AceLusions @Arbirating\r\n'
'14909525'	'761013044579368960'	'* @usa renews #Suits for a 7th season.\r\n'
'57982473'	'758862714257100801'	'The funniest man on the planet, my friend,  George Wallace will be at Chuckles tomorrow night in Memphis! Be there!\r\n'
'15926431'	'762084184089325568'	'Former SPCO cellists marijuana charges dropped in Oregon\r\n'
'3065900255'	'757906547850768385'	'Upper Valley fired up after opening night of the DNC Convention! #603forHRC\r\n'
'21092777'	'755468603684630529'	'Another run, another swing! Love finding side adventures on my solo long runs.#14km @SeaWheeze @SNSC @NewBalanceVan\r\n'
'12089642'	'760860379627028480'	'.@drivingdotca: Car Review: 2016 #Cadillac ATS-V Coupe. #auto\r\n'
'2333803034'	'749649816867708928'	'#FIAFormulaE championship winner @Sebastien_buemi and #LondonePrix winner @nico_prost @cnnsport #CNNsupercharged\r\n'
'41500257'	'373001472255864833'	'Meanwhile... Someone is breaking the law. Hahahaha! #coding #codingwindow\r\n'
'433297321'	'751388214439575553'	'Here is Juliet Sanders, another of our Specialist Physios, based in the North East - calm & serene prep for the race\r\n'
'342924593'	'763428487747239936'	"'""Foreigner"" is a new book compassionately documenting the migrant crisis.\r\n'"
'2582880452'	'598480169301508096'	'More than 31 million #cars worldwide have been recalled due to issues with #Takata #airbags.\r\n'
'300361722'	'762011964470095872'	'Diversity officer Cst. Krusch enjoying the Latin Festival at Celebration Square @PeelPoliceMedia\r\n'
'225094789'	'741547452659060736'	'@WindhamAthletic @WHSJaguars @WHS_SALT_1TEAM The sun is rising bring the end to WHS class of 2016 last night.\r\n'
'34738598'	'758355645640900608'	First time hearing 'Vice' on the radio!!!! Thanks thebig98 We're playing it live this weekend\r\n
'15790423'	'764794013937463296'	'14 things you never knew about @ASOS :\r\n'
'61204331'	'739907283409358849'	'Almost time to open our next #20For20 Mini-Pitch & offer the kids from @BGCB_Boston a safe place to learn the game.\r\n'
'4262073493'	'690251765015416833'	'Call #EHValetServices  818-4150776 & Get 20% Any private event. #Event #ValetParking #Valet #LA\r\n'
'56879674'	'765241213905694720'	'.@KarlDeisseroth wins 2016 Massry Prize for pioneering optogenetics work:\r\n'
'743282559082176516'	'746694346137870338'	'Glorious day in Plymouth NH to canvass! #603forHRC #ImWithHer #nhpolitics @NHDems #squirrellabor\r\n'
'739520106'	'627633902610456576'	About to drive my brand new Mercedes on the field @ORLPredators game. Not #SAWFT How You Doin'? #SmartCarSmartChoice\r\n
'68674747'	'748903799708934144'	'Good day here at the #AustrianGP ! Happy with the work and the feeling of the car. Hoping for more tomorrow #r8g\r\n'
'14095883'	'762291800698748928'	'The coroner has arrived on the scene. @Enquirer\r\n'
'117189498'	'761728521681199105'	'Anchoring with @mbretosESPN now on @SportsCenter on ESPN NEws\r\n'
'715081326'	'761595653881487360'	'Little radio babies!\r\n'
'73194782'	'751578212002623488'	'Keep it cool Atlanta..\r\n'
'4262073493'	'695386325835382785'	'Let us handle the parking 818-415-0776 #ehvaletservices #valet #losangeles #valetparking #valetservices\r\n'
'599503952'	'731592109396910080'	'Happy Saturday\r\n'
'2183366677'	'712787189562810373'	'When he kisses your neck\r\n'
'69053016'	'655710979423125504'	'Here w/ @childrensatl for @DunwoodyRotary 6th annual #RunDunwoody #strong4life\r\n'
'89005644'	'763927252190978048'	'DREAM COME TRUE!! Finally in a WongFu episode!! \r\n'
'101885859'	'759160213308051457'	'Our fantastic panel of judges giving their thoughts on day 1 of #DMUrbanInno\r\n'
'3137231'	'762449422194053120'	'this exit can be... shared?\r\n'
'804838676'	'728027568289370112'	LA, I love you. Don't ever change. \r\n
'15972271'	'744276957152612352'	'AMAZING DAY with @delcodems and #PAVictory2016 squad registering voters in Chester. join us:\r\n'
'582163242'	'751453579098087424'	"'""The other big winner at #Wimbledon"". More from @CorpJetInvestor:\r\n'"
'144432548'	'754851447444008964'	"'""These are trying times. Please don\'t let hate infect your heart.""\r\n'"
'50310311'	'760868284707147778'	Stephanie Toti + @glamourmag's September issue =  #51MillionVoices #StopTheSham\r\n
'1929466142'	'753312505368240128'	'I used to lift in a gym where they sold 15 diff supplements. Here they photocopy crosswords. #thisIs42\r\n'
'214413743'	'755841765790277632'	Travelled out to Budapest today for the #HungarianGP this weekend. As always I'll be looking to rip it up \r\n
'3298943363'	'675411082291359744'	"'Don\'t miss our webinar ""Transportation Mgmt with AR Traffic Consultants"" next Tues, Dec 15:\r\n'"
'75085858'	'760883306854510592'	'Casual is seldom casually achieved #SubwayStyle #1LookADay\r\n'
'725342317054414848'	'764119346150944773'	'Showing off the engagement ring @BristowKatilyn @sexyshawnB\r\n'
'899557800'	'756142258546769920'	When the lights go down, it's time to take a leading role with #NewMito. #AlfaRomeo #LaMeccanicaDelleEmozioni\r\n
'14902214'	'760126729503531008'	'Thanks @sgray_stephen\r\n'
'19240281'	'617065569968197632'	'So cool that could win cars like this at @GVCasino!\r\n'
'336172914'	'685833557357416448'	'Illinois swimming comin together at the UT vs. UGA dual meet! Great memories with this girl @meems542 #letsrace\r\n'
'976258332'	'720689409260142597'	.@ACLU_NH's challenge to Manchester's panhandling rules could affect other N.H. cities, too.\r\n
'243276676'	'761041663376498688'	'Good times! #Familia\r\n'
'3020138827'	'759389340069863424'	'You can take action against trafficking in persons - @UNODC explains how here: #WDTiP\r\n'
'1081121756'	'730842133347733505'	'Location... Location. #setshots #murderinthefirst\r\n'
'42521428'	'746778311695667200'	'So great to hear from Robby Mook at our Hampton canvass launch! #nhpolitics #603forHRC #ImWithHer\r\n'
'3030907252'	'763808481350656000'	See @LilyAldridge's super glam new ad campaign for @MichaelKors:\r\n
'38838127'	'723582735990841345'	It's Earth Day, so naturally I am sitting in a cab in traffic. \r\n
'382100563'	'738056915532550149'	'SEC can keep pursuing fraud case against financier Lynn Tilton\r\n'
'46208669'	'760919470340730881'	'We are honored to announce Donna as @JewettOrtho s employee of the month for August..\r\n'
'39452003'	'764143822741774336'	'VIDEO: Bahang nagpabigat sa trapiko, namerwisyo ng maraming motorista at commuter\r\n'
'501583715'	'762870251751034881'	'Hindi ko talaga kinakaya ang paandar ng mga Pinoy. Wala pang isang linggo @PokemonGoApp sa Pilipinas ha!\r\n'
'19175209'	'748676509943140353'	Science Matters: Broken records define the climate crisis - Humanity's fate depends on the choices we make toda...\r\n
'776789251'	'645317383826075648'	'The Wheldons setting the pace @NewCastleMP  #DWProAm\r\n'
'274202514'	'764021534713274368'	'Audrey is working on this story coming up in just minutes at 5.\r\n'
'20688616'	'753745731001970688'	'Popcorn Flicks in the Park ??????\r\n'
'346353711'	'764246753566601216'	'Hey, Chicago! Come out and #HelpGirlsShine with me at the @ComEd #IceboxDerby tomorrow from 3-5 pm!\r\n'
'14800270'	'761181150203314176'	'7 things to say when a conversation turns negative:\r\n'
'1090438488'	'765539321386561536'	"'My guys @Cycology_Bikes already in touch to do ""surgery"" on my bike! #Heros\r\n'"
'249901977'	'762809070071885824'	'The tree has been cleared and removed. #GATechPD\r\n'
'342750395'	'754737884519886848'	'On to the next one for these guys. \r\n'
'14320586'	'759052499701501953'	'You can either vote to elect our first female president, or for the living embodiment of this bumper sticker.\r\n'
'214596972'	'745028578702692352'	'75 days, 4 countries, 50 priceless days underwater in a changing sea\r\n'
'118935599'	'761529325359214592'	Intersection in BGC. To each his own. Traffic light doesn't mean anything.\r\n
'2389155956'	'742894838568259588'	'Legally aloud to whip Kermit the car alone\r\n'
'2352597806'	'715648724068859905'	'A 2016 Mazda 3 purchased by a Roadster SF neighbor. Also known as shortest delivery distance in Roadster history.\r\n'
'1540925750'	'524506180597854208'	'#DG #awesome #working (#kinda)\r\n'
'218797772'	'763046947037057025'	'Phantom suffering? @bourke_joanna on physical + emotional wounding after the First World War\r\n'
'1347114337'	'764061174484852736'	'Even sweatier hugs than usual. #weekendearned #np_dc #washingtoncircledc #thefitdistrict #friyay @Nov_Project_DCA\r\n'
'16292457'	'761993957442191360'	'@MrDavidAWilson is getting good with this camera cc @danii_phae\r\n'
'7313362'	'762308342664531968'	ISIS claims responsibility for Saturday's machete attack in Belgium\r\n
'21267237'	'746385850842419200'	'Landed in Denver #ISTE3016 @4GBrotto @lisegaluga\r\n'
'393657399'	'757657293915844608'	'The world is our oyster @samevanslife ???\r\n'
'2462262230'	'763432369705586693'	I feel fitting 9 letters' worth of happiness into a 7-letter space is like a metaphor for Mini Cooper ownership. ??????\r\n
'38251645'	'759185567003185152'	'Today was an emotionally draining day in Genoa City! \r\n'
'514019413'	'754519555758632960'	'These #PokemonGO fans are voluntarily cleaning up the #Rhodes Pokestop in Sydney. Want to keep the locals happy\r\n'
'497042667'	'658920366669234176'	'Motor Vehicle Tutor required @ KCSA call 01484 518670 or email cstringer@Kcsa.org.uk\r\n'
'725408684822659072'	'747440286964584448'	'Protest at the Capitol for Immigrant Rights is underway @cbs46 will have the latest at noon #CBS46\r\n'
'12101862'	'760956161331986432'	'Roll out in style w/ @Sixt cars. Book by Sept 30 + earn up to 900 Elevate points (+terms).\r\n'
'213969309'	'759059781898371072'	'Flat out in Germany #F1istZurueck #GermanGP #F1 #TeamLH @MercedesAMGF1    x Steve Etherington\r\n'
'4825096042'	'764625011718103040'	"'when bae leaves you on read all day then hits you with that ""hey boo"" at 9pm\r\n'"
'433925854'	'748711439326547972'	'Last day of Pediatric residency @ChildrensDMC ??\r\n'
'132344326'	'721086312502067201'	'Photos I took years ago from #Egypt around #Jan25:\r\n'
'429403604'	'758292983666139136'	'#Roswell police say man is in serious condition after he was hit by a car this morning on Hwy 120.\r\n'
'22147628'	'730812859786137605'	'Drive the all-new 2016 #LexusRX at the Find Your Edge Tour. In the Pavilion Near Williams-Sonoma. 5/13-5/14, 11a-7p.\r\n'
'8504762'	'738268385448890368'	I don't have the heart to tell them how this verse ends\r\n
'1535554237'	'728948765906878465'	Wouldn't you like to be. Lol.\r\n
'3911239745'	'764576694028136449'	'#Crabtree Mall in Raleigh on lockdown after eyewitnesses report shots fired inside:\r\n'
'18682378'	'762131082967908352'	'Way to to #TeamUSA\r\n'
'132344326'	'762741617581318144'	'Even the mayor of Boston got in on #CargoGate. Who knew a piece about shorts would be so divisive?\r\n'
'153991606'	'716503816514842625'	'@CityOfLasVegas thanks for taking the time to make these chickies smile #lifecubeproject @DTLVfans\r\n'
'3273378864'	'713030773104852992'	'#tbt Matt spoke with @LoudAndQuietMag this month about life as a 16-year-old. Read it here:\r\n'
'464136514'	'594532140827697154'	'Our friends at @TrekBikes & @TrekTravel deserve a big thank you for helping make #BoBikesBama happen every year.\r\n'
'335972576'	'764579411781947392'	'NYC imam & assistant shot while walking home from mosque ?one is dead, other critical\r\n'
'275528250'	'365904590232764417'	'@LowGravityAscnt two words - truck camper.\r\n'
'14800270'	'761335942376488961'	'7 things to say when a conversation turns negative:\r\n'
'43460864'	'761309866661122048'	'#Breaking: Barricaded gunman arrested in Gwinnett.@GwinnettPd: no shots fired in SWAT situation, no injuries @wsbtv\r\n'
'1261181221'	'760445233846849537'	Here's why you shouldn't expect #Mazda to make cheap cars any time soon @Mazda_ph.\r\n
'2798897076'	'663075986775236608'	'#drivingdirty CONSERVE WATER, CA!\r\n'
'12089642'	'761573763481829376'	.@drivingdotca explains why it's alarmingly easy to have your car stolen these days: #autos\r\n
'16879936'	'763491242726592512'	'Currently being evacuated from Union Station in DC. My drink and meal are on my table. Train cancelled. Whoah.\r\n'
'24966423'	'758823669594324992'	'Love these guys!!!\r\n'
'27582607'	'266493377514700800'	'Car on fire in front of the US embassy! @MMDA\r\n'
'2256342535'	'761742707232378880'	'Sa pag-akyat ng bilang ng mga naaaksidente sa pagmomotor,. ano ang inyong maipapayo upang maging ligtas sa daan?\r\n'
'199551313'	'763412767583801344'	'Exploring #SanDiego with #TheNewKia @Kia\r\n'
'401717699'	'306462743366623233'	S'eshte keq qe edhe te qeshim ca teksa i percjellim keta:-)\r\n
'4170491'	'762182980173500416'	'California mayor accused of playing strip poker at youth camp, giving alcohol to minor\r\n'
'247834848'	'759413905474985984'	After my trip to Vegas I made this list of things you can do that doesn't include partying\r\n
'593386722'	'753084262618890240'	'@bayanmo Wala ng pinipiling oras at araw: traffic sa Mandaluyong palala ng palala! LGU without new/better scheme.\r\n'
'935999107'	'298656435028508673'	'@Joyceilas 1/5 Gud pm Joyce. D attachd photo is d old man reachd out in Brgy Tambo by d DSWD staff last Jan. 31,2013.\r\n'
'25773330'	'743924250080227328'	A crowd full of athletes and parents here at The Greenhill School in Addison for tonight's Texas satellite camp.\r\n
'16365636'	'763480799991783428'	'The One Word You Must Know When Driving Abroad:\r\n'
'31080039'	'757995679004450816'	I'm official!! #DemsInPhilly #DNCinPHL\r\n
'1407694686'	'744833648155721729'	'Colorum van operating illegally as UV Express nabbed by LTFRB Enforcement Team in Pasay City\r\n'
'28187891'	'765344054573957121'	'Councilman Boyd says it is Not MPD deciding who is allowed into vigil, but rather Graceland security. @LocalMemphis\r\n'
'201656693'	'729731831424114688'	'With the real champion\r\n'
'22781017'	'762305564923850752'	'A8 war stundenlang gesperrt: 10 Verletzte nach Horror-Crash am Brnig\r\n'
'150885854'	'750014916648701952'	'Strong @HillaryforVA showing at the Dale City 4th of July parade today! #VirWINia\r\n'
'725408684822659072'	'744834378384052224'	'2 people are dead after an SUV crashed into a tree in Austell this morning-- @cbs46 will have the very latest #CBS46\r\n'
'17348525'	'762133168363220992'	'For some players, the journey to\r\n'
'3388965316'	'763011884198932480'	'Sa mga excited na magkita ang MaiChard sa Morocco. Haha! #MEGANationWithAldub #MEGANationMoroccoWithAldub\r\n'
'797450006'	'757259262590459905'	One family's epic surfing road trip from California to Costa Rica #travelgoals #surf\r\n
'25798248'	'726198666017562625'	'@JohnKincade thanks for the heads up brother! We are tightening up! #MotherNature #DegaBaby #imsleepinginthetent\r\n'
'587114038'	'731259096465313798'	How 'bout the  on @GregSankey and @JackHCondon?! Lookin' good gents. #SECSB \r\n
'255388236'	'706918858993479681'	'low life\r\n'
'524709387'	'668814179659325440'	@BlackOps3News_ @DavidVonderhaar @Activision  erm what's going on with my account?\r\n
'43144932'	'759468932755361792'	'.@SolomonsWisdom joins @SirFranksnBacon right now from @Browns Training Camp on ESPN 850.\r\n'
'21656599'	'765346491129008128'	'@Atlanta_Police: A woman was leaving this bar + jumped into an Uber + was allegedly raped by the driver. More @11.\r\n'
'36338570'	'718212490744586241'	Out shopping.  At least I'm taller than the parking meter. Xx\r\n
'506024283'	'685970144376393728'	'No hands  #toyota #FCVPlus #CES2016\r\n'
'385895615'	'764014830609010688'	'Heading to @SummerInTheCity you can get there by cable car for just 2 #SitC2016\r\n'
'2975091705'	'760480112621924352'	Great visiting #GA's 2016 Manufacturer of the Year, @CaterpillarInc's Athens plant. Keep up the outstanding work!\r\n
'221569641'	'695009324012273664'	I can't even handle @BillNye the Science Guy at Men's Fashion Week right now  #epic\r\n
'1421910865'	'590291405676773377'	'Got the new wheels put on!\r\n'
'29679737'	'760822580005576704'	'Beauty and the beach. #AudiA5\r\n'
'22107140'	'682346646986883072'	'Happy birthday to my darling girl @elliegoulding. Ride or die 4 u 4eva. \r\n'
'4908864885'	'753018873658605568'	"'""People change and forget to tell each other."" - Lillian Hellman\r\n'"
'2337669434'	'457591140561457152'	'Come and play with us at the Sandy Springs Funhouse @SSFunhouse #arcade #fun #atlanta Stay tuned for review Tuesday.\r\n'
'233331096'	'722146440194179072'	'Insider #UGA #Football tip: @KirbySmartUGA can mash a golfball. He also can sync 20 ft putts for birdies.\r\n'
'160562673'	'516983985361014784'	'Northside Hospital Offers Courtesy Shuttle To Patients, Visitors\r\n'
'16474434'	'760889213403312128'	First time I'm missing TC in WV, But I had to come support my other favorite player at play at USSSA Futures @Saints\r\n
'374896449'	'669596602651152384'	'@Favre4Official What do you think of the new #PackersFence @spencernyoung and I did outside @LambeauField ?!\r\n'
'496835174'	'297908005381500929'	'Winners are grinners!!! :D @battle_2013\r\n'
'22941372'	'763590006241894400'	'Great night.\r\n'
'22493625'	'471093302695956480'	'Hi @PSchrags!!!!! @JayOnrait and I heard this song in the car and thought of you.\r\n'
'210904309'	'685084227403182080'	Throwback Thursday: 1914-1969, Emory's train depot had direct service to NYC via the Silver Comet.\r\n
'328492561'	'757025583477829632'	@atty_sherwindep bus rapid transit also being studied. It's like surface subway (Pix C/o Wikipedia. BRT n Jakarta)\r\n
'38363082'	'764248169894940672'	'! #ABC bound to tape a segment for #GMA Sat am Everybody scratching their heads over #BrendanDassey ruling\r\n'
'2097571'	'762626049712717824'	'A man in London has died of a blow to the head while leaning out a train window\r\n'
'100838474'	'764587635385958401'	'The man... nee, The LEGEND behind @BamaNation & I at @PonceCityMarket today.   Hogville & @KwanzaHall #RollTide #WPS\r\n'
'4349649612'	'758526873102147584'	'Want to know what a tow car looks like during the trek to and from Alaska?  Well, here it\r\n'
'4913006894'	'761727852572053504'	Knock... Knock... We're here!. #SteelStrong\r\n
'2467791'	'764178788515254272'	"'""Banning burqas isnt a sensible response to terrorism""\r\n'"
'3305543211'	'640143556695445504'	'Early birds get the #krogertailgate scratch off cards! Check DawgNation for a gallery and video later today\r\n'
'21196745'	'764090336108879873'	'Loved seeing @disneypetes early with you this week. Opens today & studio dropped off goodies to celebrate!\r\n'
'15021469'	'761351330095067136'	'.@UKTriumph and @Infor seek to take a motorcycle to half the #speedofsound:\r\n'
'17774061'	'750875916297838592'	'Albo to put motion backing Shorten Friday, Left to push for bigger share of ministry @smh\r\n'
'43460864'	'765289494534692864'	'Teen dead after confronting men about stolen bike: @TomJonesWSBTV reports at 5:01.\r\n'
'9109642'	'739548756098621440'	'Greeting from Pleiades. Find this evil space monkey #FAFATL\r\n'
'190807814'	'730187015598153729'	'Thanks to @IdahoDairy #FUTP60 and the @Seahawks for having me out to Idaho Falls w/ @TheSeaGals @BlitzTheSeahawk\r\n'
'44685125'	'751180866081026048'	'The @VanCanucks vehicles are in place at Shawnigan Lake Rink. Peeps starting to show up for the 4on4 Prospects game!\r\n'
'165853598'	'753598266797858816'	'On scene of a train derailment at Wauhatchie Yards. Train vs 18-wheeler. Stand by for more updates. #ChattFire\r\n'
'260674089'	'742243251961237504'	'Who dis???\r\n'
'94129050'	'763725902018650112'	'Celebrate the last days of summer on a beach-bound trip to the Rockaways on 8/27. Tickets:\r\n'
'50384508'	'727254914515218436'	'New sign. New times @DandC #ROC ?? #newDandCera #ThisIsROC #ROC #RochesterNY\r\n'
'18015555'	'665474558690992128'	'De anti-zwarte pietdemonstranten zijn gearriveerd in Meppel en worden opgewacht door de pers. #sinterklaasintocht\r\n'
'2428976216'	'752048457448353792'	'Entry now open for the 2017 Lindley 10k which will take place on Sunday 25th June 2017. #Lindley #Lindley10k #10k\r\n'
'14772554'	'765599136553046016'	'A3: Anywhere on #CocoaBeach. Stay and play where the Mercury, Gemini and Apollo astronauts lived. #FLTravelChat\r\n'
'225231714'	'758851766469308416'	'This group includes my mom and dad. Heck yes!\r\n'
'1036388324'	'751557841266233344'	'Can u tell been long day? The barista 2sweet wrote have a better day #StarbucksRun #ThnksKellee #MyAMIsBettaThanUrs\r\n'
'385005317'	'730773277023461376'	President #Dilma Rousseff speaks to supporters before leaving office for 180 days. We're live from Planalto @cnni\r\n
'2498924192'	'716551650639486976'	'The countdown is on to the Vitality @readinghalf 3,2,1?.. #readinghalf\r\n'
'43139414'	'634167570854244352'	Favorite camp pic: Talking to Revis. HE'S not a dysfunctional Jet.\r\n
'296174683'	'198747609815461888'	'RIP Adam Yauch\r\n'
'2351073641'	'489785902949232640'	'De eerste is gespot !  Expo vanaf 25 juli @melkweg Galerie #expositie #melkweg #portrait #art #photography #opening\r\n'
'31746605'	'705008909585682432'	Glasgow traffic - standstill for last 15 minutes. I'm sure my BP is rising; I'll check my #digitalhealth health app\r\n
'21436663'	'764903189841928193'	'Spending the day with Dad ?? (via MLB Fans)\r\n'
'701481519718801408'	'754791740935139328'	'Our #RapidResponseDriver Kevin has been on an urgent tasking, retrieving lifesaving organs #GodSpeed #OrganDonation\r\n'
'155949831'	'762596475184508928'	'Next stop: Norway . : @HUGOBOSS. #RMSuperCup #HalaMadrid\r\n'
'191206524'	'764223922548183041'	'3 blokes, just having a laugh. After gold medal number 16 was earned a few minutes earlier... Mind=Blown.\r\n'
